factor_id,economic_family,economic_concept_key,specification,expected_direction,required_fields,stage,evidence_status
revenue_revision,EARNINGS_MOMENTUM,estimate_revision,analyst revenue estimate revision,HIGHER_IS_BETTER,revenue_estimate_history,CANDIDATE,UNREVIEWED
earnings_surprise,EARNINGS_MOMENTUM,earnings_surprise,reported versus expected earnings surprise,HIGHER_IS_BETTER,reported_earnings|expected_earnings,CANDIDATE,UNREVIEWED
idiosyncratic_volatility,RISK,idiosyncratic_risk,idiosyncratic return volatility,LOWER_IS_BETTER,market_returns|stock_returns,CANDIDATE,UNREVIEWED
downside_volatility,RISK,downside_risk,downside return volatility,LOWER_IS_BETTER,stock_returns,CANDIDATE,UNREVIEWED
market_beta,RISK,systematic_risk,market beta,UNDECIDED,market_returns|stock_returns,CANDIDATE,UNREVIEWED
max_drawdown,RISK,drawdown_risk,rolling maximum drawdown,LOWER_IS_BETTER,price_history,CANDIDATE,UNREVIEWED
turnover,LIQUIDITY,trading_liquidity,share turnover,UNDECIDED,shares_outstanding|trading_volume,CANDIDATE,UNREVIEWED
average_daily_value,LIQUIDITY,trading_liquidity,average daily traded value,UNDECIDED,turnover_value_history,CANDIDATE,UNREVIEWED
amihud_illiquidity,LIQUIDITY,price_impact,absolute return divided by traded value,UNDECIDED,return_history|turnover_value_history,CANDIDATE,UNREVIEWED
spread_proxy,LIQUIDITY,trading_friction,bid-ask spread proxy,UNDECIDED,spread_proxy_inputs,CANDIDATE,UNREVIEWED
market_cap,SIZE_CONTROL,size,market capitalization,UNDECIDED,market_cap,CANDIDATE,UNREVIEWED
free_float_market_cap,SIZE_CONTROL,size,free-float market capitalization,UNDECIDED,free_float_ratio|market_cap,CANDIDATE,UNREVIEWED
